,ds,trend,trend_lower,trend_upper,yhat,yhat_lower,yhat_upper
719,2017-05-19,6286.72198509978,6286.72198509978,6286.72198509978,6051.633296025646,5847.942986429238,6266.254428569881
720,2017-05-22,6289.555380077142,6289.555380077142,6289.555380077142,6055.940140862012,5839.621187516099,6268.891430800383
721,2017-05-23,6290.499845069597,6290.499845069597,6290.499845069597,6073.14597658909,5858.36867269948,6292.039830711433
722,2017-05-24,6291.444310062051,6291.444310062051,6291.444310062051,6080.587603187116,5866.064549339655,6293.920473751988
723,2017-05-25,6292.388775054505,6292.388775054505,6292.388775054505,6083.366945024374,5873.340067734622,6319.870971510233
724,2017-05-26,6293.33324004696,6293.33324004696,6293.33324004696,6092.8639352415885,5861.601876977842,6310.764896101134
725,2017-05-30,6297.111100016777,6297.111100016777,6297.111100016777,6133.874215437507,5941.129697904673,6351.276649706838
726,2017-05-31,6298.055565009231,6298.055565009231,6298.055565009231,6144.597092275719,5914.2321131699555,6364.474014046209
727,2017-06-01,6299.000030001686,6299.000030001686,6299.000030001686,6149.831174022853,5916.776043498571,6367.52153243545
728,2017-06-02,6299.944494994141,6299.944494994141,6299.944494994141,6160.890867722114,5939.726213710464,6373.997396854381
729,2017-06-05,6302.777889971503,6302.777889971503,6302.777889971503,6179.66087359781,5970.360791227107,6394.614019445027
730,2017-06-06,6303.7223549639575,6303.7223549639575,6303.7223549639575,6198.650115416313,5984.511567574978,6412.218290859704
731,2017-06-07,6304.666820141968,6304.666820141968,6304.666820141968,6206.234942261558,6004.128681270754,6433.6862373195945
732,2017-06-08,6305.6112853199775,6305.6112853199775,6305.6112853199775,6207.499846518291,5984.182422000196,6427.062793719318
733,2017-06-09,6306.555750497988,6306.555750497988,6306.555750497988,6213.846165263938,5987.466642498539,6430.313552702818
734,2017-06-12,6309.389146032017,6309.389146032017,6309.389146032017,6215.149287231321,5988.340283399418,6431.257891036742
735,2017-06-13,6310.333611210029,6310.333611210029,6310.333611210029,6227.658188551573,6010.4169622633,6464.157766021289
736,2017-06-14,6311.278076388038,6311.278076388038,6311.278076388038,6228.683822368395,6018.475044637062,6456.884497951996
737,2017-06-15,6312.222541566049,6312.222541566049,6312.222541566049,6223.468229970419,5994.429719757218,6437.54662152418
738,2017-06-16,6313.167006744058,6313.167006744057,6313.167006744057,6223.569996067348,5993.420173253059,6444.27939054309
739,2017-06-19,6316.000402278089,6316.000402278089,6316.000402278089,6209.042978838009,5997.278451980177,6440.0722071780765
740,2017-06-20,6316.944867456099,6316.944867456099,6316.944867456099,6217.685167253102,5995.395272650598,6425.636774029436
741,2017-06-21,6317.889332634109,6317.889332634109,6317.889332634109,6215.73160234421,5980.807045810088,6434.419540378146
742,2017-06-22,6318.833797812119,6318.833797812119,6318.833797812119,6208.504676442254,5974.268591657886,6417.84462435733
743,2017-06-23,6319.778262990129,6319.778262990129,6319.778262990129,6207.620714200063,5997.473690669272,6439.54414600999
744,2017-06-26,6322.61165852416,6322.61165852416,6322.61165852416,6196.499754451012,5971.865803795361,6407.075223485448
745,2017-06-27,6323.556123702169,6323.556123702169,6323.556123702169,6208.341730857607,5977.2106676995045,6436.869774764477
746,2017-06-28,6324.50058888018,6324.50058888018,6324.50058888018,6210.52953340819,5983.829629344967,6425.151601114764
747,2017-06-29,6325.445054058189,6325.445054058189,6325.445054058189,6208.296071651224,5979.879728441709,6411.095713083803
748,2017-06-30,6326.3895192362,6326.3895192362,6326.3895192362,6213.147404032973,5979.205643720097,6420.629789823302
749,2017-07-03,6329.22291477023,6329.22291477023,6329.22291477023,6222.325986349515,6009.974361197302,6452.948211961959
750,2017-07-05,6331.11184512625,6331.11184512625,6331.11184512625,6250.905019439242,6024.557942004902,6455.481115617422
751,2017-07-06,6332.0563103042605,6332.0563103042605,6332.0563103042605,6255.7523582331005,6048.516860505892,6480.775078656736
752,2017-07-07,6333.00077548227,6333.00077548227,6333.00077548227,6267.334866454651,6056.51006339411,6494.000468257051
